,fdc_id,data_type,description,food_category_id,publication_date
1,2340761,survey_fndds_food,"Milk, NFS",,2022-10-28
10,2340770,survey_fndds_food,"Buttermilk, fat free (skim)",,2022-10-28
11,2340771,survey_fndds_food,"Buttermilk, whole",,2022-10-28
12,2340772,survey_fndds_food,"Kefir, NS as to fat content",,2022-10-28
13,2340773,survey_fndds_food,"Goat's milk, whole",,2022-10-28
14,2340774,survey_fndds_food,"Milk, dry, reconstituted, NS as to fat content",,2022-10-28
15,2340775,survey_fndds_food,"Milk, dry, reconstituted, whole",,2022-10-28
16,2340776,survey_fndds_food,"Milk, dry, reconstituted, low fat (1%)",,2022-10-28
17,2340777,survey_fndds_food,"Milk, dry, reconstituted, fat free (skim)",,2022-10-28
22,2340782,survey_fndds_food,"Milk, condensed, sweetened",,2022-10-28
23,2340783,survey_fndds_food,"Non-dairy milk, NFS",,2022-10-28
24,2340784,survey_fndds_food,Soy milk,,2022-10-28
27,2340787,survey_fndds_food,"Soy milk, chocolate",,2022-10-28
29,2340789,survey_fndds_food,"Almond milk, sweetened",,2022-10-28
30,2340790,survey_fndds_food,"Almond milk, sweetened, chocolate",,2022-10-28
32,2340792,survey_fndds_food,"Almond milk, unsweetened, chocolate",,2022-10-28
33,2340793,survey_fndds_food,Rice milk,,2022-10-28
34,2340794,survey_fndds_food,Coconut milk,,2022-10-28
35,2340795,survey_fndds_food,"Yogurt, NFS",,2022-10-28
38,2340798,survey_fndds_food,"Yogurt, NS as to type of milk, plain",,2022-10-28
39,2340799,survey_fndds_food,"Yogurt, whole milk, plain",,2022-10-28
40,2340800,survey_fndds_food,"Yogurt, low fat milk, plain",,2022-10-28
41,2340801,survey_fndds_food,"Yogurt, nonfat milk, plain",,2022-10-28
42,2340802,survey_fndds_food,"Yogurt, Greek, NS as to type of milk, plain",,2022-10-28
43,2340803,survey_fndds_food,"Yogurt, Greek, whole milk, plain",,2022-10-28
44,2340804,survey_fndds_food,"Yogurt, Greek, low fat milk, plain",,2022-10-28
45,2340805,survey_fndds_food,"Yogurt, Greek, nonfat milk, plain",,2022-10-28
46,2340806,survey_fndds_food,"Yogurt, NS as to type of milk, fruit",,2022-10-28
47,2340807,survey_fndds_food,"Yogurt, whole milk, fruit",,2022-10-28
48,2340808,survey_fndds_food,"Yogurt, low fat milk, fruit",,2022-10-28
49,2340809,survey_fndds_food,"Yogurt, nonfat milk, fruit",,2022-10-28
50,2340810,survey_fndds_food,"Yogurt, Greek, NS as to type of milk, fruit",,2022-10-28
51,2340811,survey_fndds_food,"Yogurt, Greek, whole milk, fruit",,2022-10-28
52,2340812,survey_fndds_food,"Yogurt, Greek, low fat milk, fruit",,2022-10-28
53,2340813,survey_fndds_food,"Yogurt, Greek, nonfat milk, fruit",,2022-10-28
62,2340822,survey_fndds_food,"Yogurt, Greek, with oats",,2022-10-28
63,2340823,survey_fndds_food,"Yogurt, liquid",,2022-10-28
64,2340824,survey_fndds_food,"Chipotle dip, yogurt based",,2022-10-28
65,2340825,survey_fndds_food,"Onion dip, yogurt based",,2022-10-28
66,2340826,survey_fndds_food,"Ranch dip, yogurt based",,2022-10-28
67,2340827,survey_fndds_food,"Spinach dip, yogurt based",,2022-10-28
68,2340828,survey_fndds_food,Tzatziki dip,,2022-10-28
69,2340829,survey_fndds_food,"Vegetable dip, yogurt based",,2022-10-28
70,2340830,survey_fndds_food,"Yogurt parfait, low fat, with fruit",,2022-10-28
71,2340831,survey_fndds_food,"Frozen yogurt, NFS",,2022-10-28
72,2340832,survey_fndds_food,"Frozen yogurt, vanilla",,2022-10-28
73,2340833,survey_fndds_food,"Frozen yogurt, chocolate",,2022-10-28
74,2340834,survey_fndds_food,"Frozen yogurt, soft serve, vanilla",,2022-10-28
75,2340835,survey_fndds_food,"Frozen yogurt, soft serve, chocolate",,2022-10-28
76,2340836,survey_fndds_food,Frozen yogurt sandwich,,2022-10-28
77,2340837,survey_fndds_food,"Frozen yogurt bar, vanilla",,2022-10-28
78,2340838,survey_fndds_food,"Frozen yogurt bar, chocolate",,2022-10-28
79,2340839,survey_fndds_food,"Frozen yogurt cone, chocolate",,2022-10-28
80,2340840,survey_fndds_food,"Frozen yogurt cone, vanilla",,2022-10-28
81,2340841,survey_fndds_food,"Frozen yogurt cone, vanilla, waffle cone",,2022-10-28
82,2340842,survey_fndds_food,"Frozen yogurt cone, chocolate, waffle cone",,2022-10-28
86,2340846,survey_fndds_food,"Chocolate milk, NFS",,2022-10-28
87,2340847,survey_fndds_food,"Chocolate milk, ready to drink, whole",,2022-10-28
88,2340848,survey_fndds_food,"Chocolate milk, ready to drink, reduced fat",,2022-10-28
89,2340849,survey_fndds_food,"Chocolate milk, ready to drink, fat free",,2022-10-28
90,2340850,survey_fndds_food,"Chocolate milk, ready to drink, low fat",,2022-10-28
91,2340851,survey_fndds_food,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",,2022-10-28
92,2340852,survey_fndds_food,"Chocolate milk, ready to drink, low fat (Nesquik)",,2022-10-28
93,2340853,survey_fndds_food,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",,2022-10-28
94,2340854,survey_fndds_food,"Hot chocolate / Cocoa, ready to drink",,2022-10-28
95,2340855,survey_fndds_food,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",,2022-10-28
96,2340856,survey_fndds_food,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",,2022-10-28
97,2340857,survey_fndds_food,"Hot chocolate / Cocoa, ready to drink, with whipped cream",,2022-10-28
98,2340858,survey_fndds_food,"Chocolate milk, made from dry mix with whole milk",,2022-10-28
99,2340859,survey_fndds_food,"Chocolate milk, made from dry mix with reduced fat milk",,2022-10-28
100,2340860,survey_fndds_food,"Chocolate milk, made from dry mix with fat free milk",,2022-10-28
101,2340861,survey_fndds_food,"Chocolate milk, made from dry mix with non-dairy milk",,2022-10-28
102,2340862,survey_fndds_food,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",,2022-10-28
103,2340863,survey_fndds_food,"Chocolate milk, made from dry mix with whole milk (Nesquik)",,2022-10-28
104,2340864,survey_fndds_food,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",,2022-10-28
105,2340865,survey_fndds_food,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",,2022-10-28
106,2340866,survey_fndds_food,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",,2022-10-28
107,2340867,survey_fndds_food,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",,2022-10-28
108,2340868,survey_fndds_food,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",,2022-10-28
109,2340869,survey_fndds_food,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",,2022-10-28
110,2340870,survey_fndds_food,"Chocolate milk, made from syrup, NS as to type of milk",,2022-10-28
111,2340871,survey_fndds_food,"Chocolate milk, made from syrup with whole milk",,2022-10-28
112,2340872,survey_fndds_food,"Chocolate milk, made from syrup with reduced fat milk",,2022-10-28
